実質原系列(前年同期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:％),,,,
"Real, Original Series (Year-over-Year Percent Change)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(%),,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
1999/ 1- 3.,-0.6 ,1.0 ,0.7 ,0.5 ,-7.2 ,-6.3 ,***,3.1 ,15.8 ,***,***,-3.2 ,-3.8 ,,***,-0.4 ,***,-21.0 ,-20.9 ,-0.7 ,,-0.6 ,-3.2 ,7.2 ,,-0.6 ,,0.8 ,,,,
4- 6.,-0.1 ,1.1 ,0.9 ,0.7 ,0.9 ,-6.0 ,***,3.4 ,13.7 ,***,***,-0.3 ,2.6 ,,***,-0.0 ,***,-13.3 ,-34.2 ,0.1 ,,0.1 ,-1.7 ,6.3 ,,-0.1 ,,0.9 ,,,,
7- 9.,0.2 ,0.9 ,0.8 ,0.5 ,4.2 ,-5.0 ,***,4.1 ,5.4 ,***,***,3.7 ,5.2 ,,***,0.2 ,***,-15.4 ,-34.4 ,0.2 ,,0.3 ,-1.0 ,4.6 ,,-0.9 ,,0.8 ,,,,
10-12.,-0.8 ,1.3 ,1.2 ,0.9 ,2.0 ,-1.9 ,***,3.6 ,-5.7 ,***,***,7.6 ,11.2 ,,***,-0.7 ,***,0.1 ,-17.6 ,-0.6 ,,-0.7 ,-0.9 ,-0.1 ,,-2.6 ,,0.3 ,,,,
2000/ 1- 3.,3.2 ,2.2 ,2.0 ,1.9 ,4.1 ,6.0 ,***,3.9 ,-9.2 ,***,***,13.5 ,7.5 ,,***,2.7 ,***,6.9 ,-13.6 ,3.0 ,,2.6 ,3.8 ,-0.8 ,,1.1 ,,2.7 ,,,,
4- 6.,2.9 ,1.4 ,1.7 ,1.6 ,0.2 ,1.9 ,***,4.1 ,-9.4 ,***,***,16.2 ,9.9 ,,***,2.6 ,***,11.1 ,-5.7 ,2.8 ,,2.1 ,2.8 ,0.1 ,,-1.4 ,,1.8 ,,,,
7- 9.,2.4 ,0.8 ,1.1 ,0.8 ,-2.5 ,7.2 ,***,3.7 ,-8.5 ,***,***,13.0 ,9.5 ,,***,2.2 ,***,15.3 ,3.2 ,2.4 ,,1.9 ,2.6 ,-0.2 ,,1.3 ,,1.9 ,,,,
10-12.,2.6 ,1.8 ,2.1 ,2.0 ,3.8 ,8.6 ,***,3.8 ,-11.6 ,***,***,9.8 ,11.1 ,,***,2.4 ,***,15.9 ,20.2 ,2.5 ,,2.7 ,4.1 ,-1.8 ,,1.3 ,,2.0 ,,,,
2001/ 1- 3.,2.5 ,1.8 ,2.0 ,1.9 ,2.7 ,6.2 ,***,2.8 ,0.3 ,***,***,0.9 ,10.7 ,,***,2.7 ,***,15.4 ,-2.6 ,3.0 ,,3.4 ,3.9 ,1.9 ,,4.0 ,,1.8 ,,,,
4- 6.,1.0 ,3.1 ,3.0 ,3.1 ,-5.7 ,3.7 ,***,2.4 ,-6.4 ,***,***,-5.9 ,4.5 ,,***,0.8 ,***,3.6 ,13.6 ,0.8 ,,2.1 ,2.8 ,-0.2 ,,-0.5 ,,0.9 ,,,,
