実質原系列(前年同期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:％),,,,
"Real, Original Series (Year-over-Year Percent Change)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(%),,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
4- 6.,1.8 ,2.7 ,2.7 ,3.0 ,6.2 ,2.4 ,***,2.1 ,0.8 ,***,***,-0.6 ,0.7 ,,***,1.9 ,***,38.6 ,26.3 ,3.0 ,,2.0 ,2.1 ,1.8 ,,2.7 ,,2.4 ,,,,
7- 9.,3.1 ,3.0 ,3.1 ,3.4 ,8.3 ,4.4 ,***,1.8 ,9.4 ,***,***,2.5 ,2.8 ,,***,2.7 ,***,32.8 ,65.4 ,3.5 ,,3.1 ,3.1 ,3.1 ,,6.0 ,,3.5 ,,,,
10-12.,3.1 ,2.6 ,2.7 ,3.0 ,9.8 ,5.3 ,***,1.3 ,13.6 ,***,***,6.2 ,9.0 ,,***,2.7 ,***,28.2 ,35.5 ,3.1 ,,3.6 ,3.5 ,4.0 ,,7.9 ,,3.1 ,,,,
2014/ 1- 3.,2.9 ,3.4 ,3.4 ,3.9 ,10.0 ,8.8 ,***,2.0 ,8.3 ,***,***,9.7 ,15.7 ,,***,2.5 ,***,18.6 ,42.2 ,2.8 ,,4.0 ,4.2 ,3.7 ,,8.8 ,,3.4 ,,,,
4- 6.,-0.1 ,-2.6 ,-2.5 ,-3.2 ,-0.2 ,2.6 ,***,0.2 ,0.9 ,***,***,6.8 ,6.8 ,,***,-0.4 ,***,-0.7 ,26.4 ,-0.9 ,,0.0 ,-0.1 ,0.3 ,,1.8 ,,-1.2 ,,,,
7- 9.,-1.1 ,-2.4 ,-2.2 ,-2.7 ,-8.7 ,1.7 ,***,0.8 ,-1.1 ,***,***,8.3 ,6.2 ,,***,-1.4 ,***,11.9 ,15.4 ,-0.9 ,,-1.2 ,-1.8 ,0.7 ,,-0.6 ,,-1.2 ,,,,
10-12.,-0.5 ,-1.9 ,-1.8 ,-2.2 ,-11.8 ,1.9 ,***,0.8 ,-2.7 ,***,***,12.6 ,4.3 ,,***,-0.4 ,***,27.3 ,32.6 ,0.2 ,,-1.6 ,-2.1 ,-0.0 ,,-1.5 ,,-0.2 ,,,,
2015/ 1- 3.,0.3 ,-3.6 ,-3.4 ,-4.1 ,-10.8 ,4.5 ,***,1.7 ,-5.0 ,***,***,7.9 ,-1.2 ,,***,1.6 ,***,11.9 ,14.4 ,2.0 ,,-1.2 ,-1.6 ,0.2 ,,0.2 ,,-0.2 ,,,,
4- 6.,2.4 ,1.8 ,1.7 ,2.0 ,-0.3 ,5.0 ,***,1.9 ,-1.5 ,***,***,2.2 ,0.6 ,,***,3.7 ,***,16.9 ,10.8 ,4.3 ,,2.0 ,2.3 ,1.1 ,,2.9 ,,2.4 ,,,,
7- 9.,2.2 ,0.9 ,0.7 ,0.8 ,5.6 ,5.6 ,***,1.8 ,-4.9 ,***,***,3.2 ,1.4 ,,***,3.8 ,***,9.5 ,17.7 ,4.0 ,,1.8 ,2.3 ,0.2 ,,3.4 ,,2.0 ,,,,
10-12.,1.5 ,0.1 ,-0.1 ,-0.1 ,4.9 ,5.1 ,***,2.3 ,-3.8 ,***,***,-0.1 ,1.1 ,,***,3.0 ,***,3.2 ,12.4 ,2.8 ,,1.7 ,1.9 ,0.9 ,,3.0 ,,1.1 ,,,,
2016/ 1- 3.,1.0 ,-0.1 ,-0.3 ,-0.5 ,2.2 ,-0.9 ,***,2.7 ,4.6 ,***,***,-0.8 ,-1.2 ,,***,2.4 ,***,2.5 ,10.9 ,2.3 ,,0.9 ,0.2 ,3.0 ,,0.6 ,,0.7 ,,,,
4- 6.,0.5 ,-0.9 ,-1.0 ,-1.2 ,3.4 ,1.0 ,***,1.6 ,3.4 ,***,***,1.1 ,-0.3 ,,***,1.7 ,***,-3.9 ,14.1 ,1.1 ,,0.3 ,-0.2 ,1.8 ,,1.8 ,,0.5 ,,,,
7- 9.,0.5 ,-0.9 ,-1.0 ,-1.3 ,4.8 ,-0.6 ,***,1.5 ,2.7 ,***,***,1.0 ,-2.8 ,,***,1.4 ,***,-5.8 ,10.0 ,0.9 ,,-0.2 ,-0.7 ,1.6 ,,0.9 ,,0.7 ,,,,
10-12.,1.0 ,0.1 ,-0.1 ,-0.1 ,5.0 ,1.3 ,***,0.7 ,-0.5 ,***,***,5.1 ,-0.4 ,,***,1.5 ,***,-8.6 ,6.9 ,0.9 ,,0.1 ,0.0 ,0.2 ,,1.5 ,,1.5 ,,,,
2017/ 1- 3.,1.0 ,0.5 ,0.3 ,0.3 ,4.0 ,1.4 ,***,-0.2 ,-2.0 ,***,***,6.3 ,1.6 ,,***,0.2 ,***,6.3 ,15.2 ,0.3 ,,0.2 ,0.6 ,-0.9 ,,1.0 ,,1.2 ,,,,
4- 6.,1.4 ,1.8 ,1.8 ,2.2 ,2.4 ,2.6 ,***,0.2 ,3.7 ,***,***,6.6 ,4.5 ,,***,0.7 ,***,5.0 ,8.3 ,0.8 ,,1.1 ,1.1 ,1.0 ,,2.7 ,,2.1 ,,,,
7- 9.,2.0 ,0.8 ,0.8 ,1.0 ,-0.0 ,2.5 ,***,0.2 ,0.1 ,***,***,7.0 ,2.7 ,,***,1.5 ,***,10.8 ,3.4 ,2.0 ,,1.4 ,1.7 ,0.4 ,,1.6 ,,1.6 ,,,,
10-12.,2.2 ,1.1 ,1.2 ,1.4 ,-3.9 ,3.1 ,***,0.2 ,-0.2 ,***,***,6.6 ,4.4 ,,***,1.6 ,***,9.8 ,9.1 ,1.8 ,,1.9 ,2.3 ,0.4 ,,1.2 ,,1.4 ,,,,
2018/ 1- 3.,1.4 ,0.3 ,0.4 ,0.4 ,-5.4 ,3.2 ,***,0.5 ,-0.2 ,***,***,5.2 ,3.5 ,,***,0.9 ,***,1.5 ,15.9 ,0.8 ,,1.1 ,1.2 ,0.6 ,,1.3 ,,1.0 ,,,,
4- 6.,1.3 ,0.1 ,0.4 ,0.4 ,-8.9 ,4.1 ,***,1.1 ,1.5 ,***,***,6.1 ,3.3 ,,***,0.7 ,***,10.1 ,9.8 ,1.0 ,,0.8 ,0.8 ,1.1 ,,1.4 ,,1.1 ,,,,
7- 9.,-0.0 ,0.4 ,0.7 ,0.8 ,-7.9 ,-0.0 ,***,0.8 ,2.0 ,***,***,2.1 ,3.3 ,,***,-1.2 ,***,5.8 ,16.2 ,-1.0 ,,0.1 ,-0.2 ,1.0 ,,-0.9 ,,0.0 ,,,,
10-12.,-0.1 ,0.0 ,0.3 ,0.3 ,-3.7 ,2.0 ,***,1.5 ,-0.3 ,***,***,1.8 ,5.1 ,,***,-1.0 ,***,8.5 ,11.3 ,-0.8 ,,0.5 ,0.3 ,1.0 ,,0.6 ,,-0.1 ,,,,
2019/ 1- 3.,-0.2 ,-0.4 ,-0.1 ,-0.2 ,1.5 ,0.6 ,***,0.9 ,0.6 ,***,***,-1.8 ,0.4 ,,***,-0.4 ,***,5.3 ,0.9 ,-0.1 ,,0.2 ,0.1 ,0.7 ,,0.7 ,,-0.2 ,,,,
4- 6.,-0.0 ,0.1 ,-0.2 ,-0.2 ,6.3 ,-1.4 ,***,1.9 ,2.0 ,***,***,-1.9 ,2.1 ,,***,-0.1 ,***,2.7 ,3.8 ,-0.1 ,,0.7 ,0.3 ,1.9 ,,0.3 ,,-0.3 ,,,,
7- 9.,0.6 ,0.6 ,0.4 ,0.4 ,6.4 ,3.8 ,***,2.6 ,1.9 ,***,***,-0.3 ,4.5 ,,***,0.9 ,***,4.5 ,8.5 ,1.0 ,,1.4 ,1.1 ,2.4 ,,3.8 ,,0.9 ,,,,
10-12.,-2.0 ,-2.7 ,-3.0 ,-3.6 ,2.5 ,-5.6 ,***,2.2 ,3.2 ,***,***,-1.9 ,-2.7 ,,***,-1.5 ,***,-3.0 ,-0.1 ,-1.6 ,,-2.1 ,-3.6 ,2.5 ,,-2.5 ,,-1.6 ,,,,
2020/ 1- 3.,-1.7 ,-1.6 ,-1.9 ,-2.3 ,-4.8 ,-1.5 ,***,1.8 ,-0.3 ,***,***,-5.1 ,-2.6 ,,***,-1.6 ,***,-1.3 ,-4.0 ,-1.6 ,,-1.3 ,-2.2 ,1.5 ,,-1.7 ,,-1.4 ,,,,
4- 6.,-9.9 ,-10.0 ,-10.6 ,-12.7 ,-5.6 ,-7.4 ,***,1.5 ,4.5 ,***,***,-21.9 ,-4.2 ,,***,-8.6 ,***,-16.6 ,-14.0 ,-8.9 ,,-6.8 ,-9.6 ,2.0 ,,-4.9 ,,-9.5 ,,,,
7- 9.,-5.1 ,-6.2 ,-6.7 ,-8.1 ,-11.0 ,-9.6 ,***,2.8 ,4.5 ,***,***,-14.6 ,-13.5 ,,***,-3.9 ,***,-17.0 ,-16.4 ,-4.6 ,,-4.9 ,-7.6 ,3.2 ,,-7.1 ,,-4.8 ,,,,
10-12.,-0.5 ,-0.9 ,-1.3 ,-1.6 ,-9.1 ,-0.8 ,***,3.3 ,5.6 ,***,***,-5.1 ,-6.6 ,,***,0.6 ,***,-11.3 ,-24.1 ,0.6 ,,-0.7 ,-2.3 ,3.7 ,,-0.6 ,,0.3 ,,,,
2021/ 1- 3.,-1.0 ,-3.3 ,-3.7 ,-4.5 ,-2.8 ,-3.8 ,***,3.0 ,5.0 ,***,***,2.1 ,-0.5 ,,***,-0.7 ,***,-1.0 ,-5.0 ,-0.6 ,,-1.4 ,-3.1 ,3.3 ,,-1.8 ,,-1.3 ,,,,
4- 6.,7.8 ,5.7 ,6.1 ,7.4 ,-1.8 ,5.2 ,***,5.1 ,-0.5 ,***,***,27.3 ,5.1 ,,***,6.5 ,***,35.7 ,7.0 ,8.2 ,,4.5 ,4.6 ,4.0 ,,2.9 ,,8.3 ,,,,
7- 9.,1.9 ,-0.6 ,-0.5 ,-0.7 ,1.4 ,3.0 ,***,4.0 ,-3.4 ,***,***,15.6 ,11.4 ,,***,0.0 ,***,30.3 ,8.8 ,1.6 ,,1.3 ,0.9 ,2.4 ,,1.3 ,,1.4 ,,,,
10-12.,0.9 ,0.3 ,0.5 ,0.6 ,0.4 ,1.4 ,***,2.0 ,-8.0 ,***,***,5.9 ,5.1 ,,***,-1.7 ,***,37.5 ,27.4 ,-0.5 ,,0.7 ,1.1 ,-0.2 ,,-1.0 ,,0.4 ,,,,
2022/ 1- 3.,0.6 ,1.2 ,1.3 ,1.5 ,-2.5 ,0.3 ,***,2.7 ,-11.9 ,***,***,4.3 ,7.3 ,,***,-1.5 ,***,31.9 ,14.0 ,0.2 ,,1.2 ,1.8 ,-0.6 ,,-2.9 ,,-0.1 ,,,,
4- 6.,1.7 ,2.7 ,2.7 ,3.2 ,-5.2 ,0.9 ,***,1.2 ,-9.2 ,***,***,2.9 ,3.2 ,,***,-0.9 ,***,16.1 ,18.9 ,-0.2 ,,1.8 ,2.8 ,-0.7 ,,-2.0 ,,1.0 ,,,,
7- 9.,1.5 ,3.6 ,3.8 ,4.6 ,-4.1 ,4.0 ,***,-0.1 ,-5.1 ,***,***,5.9 ,10.9 ,,***,-1.1 ,***,26.5 ,25.6 ,0.4 ,,2.4 ,3.8 ,-1.3 ,,0.8 ,,1.2 ,,,,
10-12.,0.4 ,1.0 ,1.0 ,1.1 ,-2.2 ,2.5 ,***,1.2 ,-2.4 ,***,***,7.3 ,10.4 ,,***,-1.2 ,***,33.0 ,26.3 ,0.3 ,,1.0 ,1.1 ,0.5 ,,0.7 ,,0.4 ,,,,
2023/ 1- 3.,2.0 ,2.7 ,2.8 ,3.4 ,-0.4 ,4.7 ,***,0.6 ,3.0 ,***,***,1.8 ,4.2 ,,***,1.4 ,***,13.3 ,53.9 ,1.5 ,,2.4 ,2.9 ,1.1 ,,3.6 ,,2.2 ,,,,
4- 6.,2.0 ,0.2 ,0.2 ,0.2 ,3.5 ,2.9 ,***,0.3 ,4.7 ,***,***,3.2 ,-1.6 ,,***,2.9 ,***,16.1 ,38.8 ,2.9 ,,0.8 ,0.7 ,1.0 ,,3.4 ,,2.1 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
